,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
48754,2015-02-12 22:19:03.00000013,10.0,2015-02-12 22:19:03 UTC,-73.98558044433594,40.757728576660156,-74.00386810302734,40.73616790771485,1
1022,2012-03-05 13:28:06.0000001,13.7,2012-03-05 13:28:06 UTC,-73.961166,40.81199,-73.984711,40.768346,2
26746,2014-10-11 10:32:00.00000031,7.5,2014-10-11 10:32:00 UTC,-73.980075,40.758637,-73.999697,40.759017,2
94738,2012-05-09 08:14:27.0000004,7.3,2012-05-09 08:14:27 UTC,-73.981002,40.75038,-74.000602,40.757677,1
80059,2012-11-01 02:18:50.0000003,12.0,2012-11-01 02:18:50 UTC,-74.0101,40.712332,-73.99228000000002,40.75816500000001,1
37431,2012-12-02 20:17:05.0000004,26.0,2012-12-02 20:17:05 UTC,-73.975564,40.75183,-73.885685,40.740736,3
11967,2012-04-16 17:39:23.0000006,6.1,2012-04-16 17:39:23 UTC,-73.95289,40.783008,-73.965577,40.765897,1
50445,2011-07-24 13:39:00.000000141,12.9,2011-07-24 13:39:00 UTC,-73.99661,40.732,-73.957615,40.760523,1
574,2011-09-21 18:40:41.0000003,3.3,2011-09-21 18:40:41 UTC,-73.979297,40.785156,-73.981687,40.780491,1
39637,2009-11-22 14:22:00.00000078,28.5,2009-11-22 14:22:00 UTC,-73.86265,40.768947,-73.983023,40.67305,1
4307,2013-09-20 15:27:00.00000066,6.5,2013-09-20 15:27:00 UTC,-73.954785,40.767522,-73.954942,40.778957,1
69716,2009-06-22 20:22:00.000000106,6.1,2009-06-22 20:22:00 UTC,-73.976025,40.748808,-73.98992700000002,40.75700300000001,2
96743,2015-01-16 08:01:52.0000001,5.5,2015-01-16 08:01:52 UTC,-73.98755645751955,40.75858688354492,-73.98339080810547,40.76476669311523,1
61884,2013-04-30 14:11:04.0000001,10.0,2013-04-30 14:11:04 UTC,-73.961923,40.770783,-73.974751,40.758775,1
14747,2010-08-07 23:29:48.0000001,4.9,2010-08-07 23:29:48 UTC,-73.988816,40.722542,-73.99468,40.71058,1
46131,2009-12-08 22:23:00.000000152,10.1,2009-12-08 22:23:00 UTC,-74.005563,40.726228000000006,-73.979213,40.762235,1
71864,2012-04-27 16:04:00.000000115,26.1,2012-04-27 16:04:00 UTC,-74.01576700000003,40.71437,-73.959027,40.783365,5
16796,2012-03-28 03:45:00.00000019,8.9,2012-03-28 03:45:00 UTC,-73.87724,40.786113,-73.884977,40.775903,1
91157,2009-07-24 03:56:00.0000008,6.1,2009-07-24 03:56:00 UTC,-73.964678,40.764118,-73.947245,40.780997,2
49845,2014-09-12 23:10:39.0000004,4.0,2014-09-12 23:10:39 UTC,-74.00735999999998,40.73357,-74.00579,40.74032800000001,1
48412,2011-03-03 15:10:00.000000238,6.1,2011-03-03 15:10:00 UTC,0.0,0.0,0.0,0.0,1
247,2009-09-25 12:46:00.000000131,8.9,2009-09-25 12:46:00 UTC,-74.011145,40.702842,-73.988755,40.718613,1
15381,2010-08-31 07:11:00.00000041,5.7,2010-08-31 07:11:00 UTC,-73.985925,40.731005,-73.983463,40.738967,1
79690,2013-03-11 09:32:48.0000001,5.5,2013-03-11 09:32:48 UTC,-74.010506,40.713953,-74.010506,40.713953,1
37057,2012-10-13 15:49:07.0000005,10.5,2012-10-13 15:49:07 UTC,-73.988724,40.774111,-73.99033100000003,40.746247,1
34138,2012-02-09 05:50:00.00000025,17.3,2012-02-09 05:50:00 UTC,-73.96791,40.802395,-73.989777,40.741293,5
6684,2015-03-28 19:45:34.0000002,19.0,2015-03-28 19:45:34 UTC,-74.01509857177734,40.71588897705078,-73.98363494873048,40.734291076660156,1
23781,2009-06-02 10:25:00.000000134,12.5,2009-06-02 10:25:00 UTC,-73.983527,40.744115,-74.010698,40.701972,1
95612,2014-01-29 22:39:00.000000176,18.5,2014-01-29 22:39:00 UTC,-73.983242,40.756017,-73.960662,40.81427,2
26883,2015-01-30 23:28:21.0000009,10.0,2015-01-30 23:28:21 UTC,-73.98320770263672,40.77106857299805,-74.00302124023438,40.74943542480469,2
89692,2011-12-21 21:20:55.0000002,6.1,2011-12-21 21:20:55 UTC,-73.974017,40.753217,-73.993511,40.743192,1
50211,2014-06-09 15:00:00.00000071,9.5,2014-06-09 15:00:00 UTC,-73.911015,40.74203,-73.870817,40.733445,1
35521,2009-01-31 03:16:00.000000117,9.3,2009-01-31 03:16:00 UTC,-73.955282,40.754292,-73.918748,40.74892,1
1208,2010-05-05 14:41:01.0000001,6.1,2010-05-05 14:41:01 UTC,-74.006592,40.733841,-73.992931,40.737398,2
30487,2012-06-12 01:16:06.0000001,20.5,2012-06-12 01:16:06 UTC,-74.005386,40.740597,-73.95136600000002,40.770316,2
2058,2009-01-28 22:59:07.0000002,5.8,2009-01-28 22:59:07 UTC,-73.994214,40.734663,-73.986497,40.732154,2
